Anderson,173                              
Anderson Preparatory Academy,174          
Blue River Valley,175                     
Daleville,176                             
Elwood Community,177                      
Frankton,178                              
Lapel,179                                 
Liberty Christian,180                     
Mt. Vernon (Fortville),181                
Pendleton Heights,182                     
Shenandoah,183                            
Yorktown,184                              
Cowan,185                                 
Delta,186                                 
Jay County,187                            
Monroe Central,188                        
Muncie Burris,189                         
Muncie Central,190                        
Randolph Southern,191                     
Union (Modoc),192                         
Union City,193                            
Wapahani,194                              
Wes-Del,195                               
Winchester Community,196                  
Avon,197                                  
Bethesda Christian,198                    
Brownsburg,199                            
Cascade,200                               
Cloverdale,201                            
Danville Community,202                    
Greencastle,203                           
North Putnam,204                          
Plainfield,205                            
South Putnam,206                          
Tri-West Hendricks,207                    
Ben Davis,208                             
Covenant Christian (Indianapolis),209     
Decatur Central,210                       
Herron,211                                
Indiana Math & Science Academy,212        
Indianapolis Crispus Attucks,213          
Indianapolis Northwest,214                
Indianapolis Shortridge,215               
International School of Indiana,216       
Pike,217                                  
Providence Cristo Rey,218                 
Speedway,219                              
Zionsville,220                            
Carmel,221                                
Fishers,222                               
Guerin Catholic,223                       
Hamilton Heights,224                      
Hamilton Southeastern,225                 
Lebanon,226                               
Noblesville,227                           
Sheridan,228                              
Tindley,229                               
Tipton,230                                
University,231                            
Westfield,232                             
Brebeuf Jesuit Preparatory,233            
Heritage Christian,234                    
Indiana School for the Deaf,235           
Indianapolis Arlington,236                
Indianapolis Arsenal Technical,237        
Indianapolis Bishop Chatard,238           
Indianapolis Cardinal Ritter,239          
Indianapolis Cathedral,240                
Lawrence Central,241                      
Lawrence North,242                        
North Central (Indianapolis),243          
Park Tudor,244                            
Beech Grove,245                           
Eastern Hancock,246                       
Franklin Central,247                      
Greenfield-Central,248                    
Indianapolis Emmerich Manual,249          
Indianapolis Lutheran,250                 
Indianapolis Scecina Memorial,251         
Lighthouse Charter South,252              
Morristown,253                            
New Palestine,254                         
Roncalli,255                              
Triton Central,256                        
Warren Central,257                        
Cambridge City Lincoln,258                
Centerville,259                           
Connersville,260                          
Franklin County,261                       
Hagerstown,262                            
Knightstown,263                           
New Castle,264                            
Northeastern,265                          
Richmond,266                              
Rushville Consolidated,267                
Seton Catholic,268                        
Tri,269                                   
Union County,270                          
Batesville,271                            
East Central,272                          
Greensburg,273                            
Jac-Cen-Del,274                           
Milan,275                                 
North Decatur,276                         
Oldenburg Academy,277                     
Rising Sun,278                            
South Dearborn,279                        
South Decatur,280                         
South Ripley,281                          
Center Grove,282                          
Christel House Academy,283                
Eminence,284                              
Franklin Community,285                    
Greenwood Community,286                   
Greenwood Christian Academy,287           
Monrovia,288                              
Mooresville,289                           
Perry Meridian,290                        
Shelbyville,291                           
Southport,292                             
Waldron,293                               
Whiteland Community,294                   
Brown County,295                          
Brownstown Central,296                    
Columbus East,297                         
Columbus North,298                        
Crothersville,299                         
Edinburgh,300                             
Hauser,301                                
Indian Creek,302                          
Martinsville,303                          
Seymour,304                               
Southwestern (Shelbyville),305            
Trinity Lutheran,306                      
White River Valley,307                    
Clay City,308                             
Linton-Stockton,309                       
North Central (Farmersburg),310           
Northview,311                             
Owen Valley,312                           
Riverton Parke,313                        
Rockville,314                             
Shakamak,315                              
South Vermillion,316                      
Sullivan,317                              
Terre Haute North,318                     
Terre Haute South,319                     
Turkey Run,320                            
West Vigo,321                             
Bedford North Lawrence,322                
Bloomfield,323                            
Bloomington North,324                     
Bloomington South,325                     
Eastern (Pekin),326                       
Eastern Greene,327                        
Edgewood,328                              
Medora,329                                
Mitchell,330                              
Orleans,331                               
Paoli,332                                 
Salem,333                                 
West Washington,334                       
Austin,335                                
Charlestown,336                           
Henryville,337                            
Jennings County,338                       
Madison Consolidated,339                  
New Washington,340                        
Scottsburg,341                            
Shawe Memorial,342                        
Silver Creek,343                          
Southwestern (Hanover),344                
Switzerland County,345                    
Borden,346                                
Christian Academy of Indiana,347          
Clarksville,348                           
Corydon Central,349                       
Crawford County,350                       
Floyd Central,351                         
Jeffersonville,352                        
Lanesville,353                            
New Albany,354                            
North Harrison,355                        
Providence,356                            
South Central (Elizabeth),357             
Cannelton,358                             
Forest Park,359                           
Heritage Hills,360                        
Jasper,361                                
Loogootee,362                             
Northeast Dubois,363                      
Perry Central,364                         
Shoals,365                                
South Spencer,366                         
Southridge,367                            
Springs Valley,368                        
Tell City,369                             
Barr-Reeve,370                            
Gibson Southern,371                       
North Daviess,372                         
North Knox,373                            
Pike Central,374                          
Princeton Community,375                   
South Knox,376                            
Tecumseh,377                              
Vincennes Lincoln,378                     
Vincennes Rivet,379                       
Washington,380                            
Washington Catholic,381                   
Boonville,382                             
Castle,383                                
Evansville Bosse,384                      
Evansville Central,385                    
Evansville Harrison,386                   
Evansville Mater Dei,387                  
Evansville Memorial,388                   
Evansville North,389                      
Evansville F.J. Reitz,390                 
Mt. Vernon,391                            
North Posey,392                           
Signature,393                             
