SchoolName,SchoolID,Address,City,State,Zip,Lat,Lon
Bethany Christian,111,2904 S Main St,Goshen,IN,46526,41.5458092041193,-85.828156335436
Concord,112,59117 Minuteman Way,Elkhart,IN,46517,41.6337060535969,-85.9273662908103
Elkhart Central,113,1 Blazer Blvd,Elkhart,IN,46516,41.6844547332448,-85.9610998126722
Elkhart Christian Academy,114,25943 Co Rd 22,Elkhart,IN,46517,41.6378547824365,-85.9647196751426
Elkhart Memorial,115,2608 California Rd,Elkhart,IN,46514,41.6955282843499,-86.0131069919405
Fairfield,116,67530 US-33,Goshen,IN,46526,41.5170986007794,-85.7691997406806
Goshen,117,401 Lincolnway E,Goshen,IN,46526,41.5820731964959,-85.8242198032136
Jimtown,118,59021 Co Rd 3,Elkhart,IN,46517,41.6375195561479,-86.0221804958521
Lakeland Christian Academy,119,1093 S 250 E,Winona Lake,IN,46590,41.2180742508381,-85.7946066113508
Northridge,120,56779 Northridge Dr,Middlebury,IN,46540,41.6729732473291,-85.7254663489135
NorthWood,121,2101 N Main St,Nappanee,IN,46550,41.4577169042316,-86.0012670210221
Wawasee,122,12659 Syracuse Webster Rd,Syracuse,IN,46567,41.4078221370465,-85.75434862312
Angola,123,779 John McBride Ave,Angola,IN,46703,41.6339606254415,-84.9702380513812
Central Noble,124,401 E Highland St,Albion,IN,46701,41.3978041185508,-85.4196492664932
Churubusco,125,1 Eagle Dr,Churubusco,IN,46723,41.2292728238169,-85.322060752361
DeKalb,126,3424 Co Rd 427,Waterloo,IN,46793,41.4077233285638,-85.037929775185
East Noble,127,901 Garden St,Kendallville,IN,46755,41.434649890137,-85.2588659964061
Eastside,128,603 E Green St,Butler,IN,46721,41.4312656076675,-84.8600768471773
Fremont,129,701 Toledo St,Fremont,IN,46737,41.7309371325916,-84.925325
Hamilton,130,903 S Wayne St,Hamilton,IN,46742,41.5229770834882,-84.9182057501856
Lakeland,131,805 E 075 N,LaGrange,IN,46761,41.6521647082511,-85.4117566636374
Prairie Heights,132,245 S 1150 E,LaGrange,IN,46761,41.6384515151848,-85.2019365199864
West Noble,133,5094 N US 33,Ligonier,IN,46767,41.4289039636813,-85.5871426512181
Westview,134,1635 600 W,Topeka,IN,46571,41.6167425311347,-85.5406715971739
Carroll (Fort Wayne),135,3701 Carroll Rd,Fort Wayne,IN,46818,41.19141287225,-85.1915684686868
Columbia City,136,600 N Whitley St,Columbia City,IN,46725,41.1628115944572,-85.4853678591644
Fort Wayne Bishop Dwenger,137,1300 E Washington Center Rd,Fort Wayne,IN,46825,41.1329207063854,-85.1246978753482
Fort Wayne Blackhawk Christian,138,7400 E State Blvd,Fort Wayne,IN,46815,41.1063233009463,-85.0451125761199
Fort Wayne Concordia Lutheran,139,1601 St Joe River Dr,Fort Wayne,IN,46805,41.09892,-85.11768
Fort Wayne North Side,140,475 E State Blvd,Fort Wayne,IN,46805,41.0965871266032,-85.1349382994258
Fort Wayne Northrop,141,7001 Coldwater Rd,Fort Wayne,IN,46825,41.1458155786678,-85.136762011254
Fort Wayne Snider,142,4600 Fairlawn Pass,Fort Wayne,IN,46815,41.1087329435297,-85.0804439365996
Garrett,143,801 E Houston St,Garrett,IN,46738,41.3483083252603,-85.1263132769354
Homestead,144,4310 Homestead Rd,Fort Wayne,IN,46814,41.0448793333333,-85.284521826328
Lakewood Park Christian,145,5555 Co Rd 29,Auburn,IN,46706,41.3302134282017,-85.0504820164268
Leo,146,14600 Amstutz Rd,Leo,IN,46765,41.2193752704336,-85.0187178241029
Whitko,147,1 Big Blue Ave,South Whitley,IN,46787,41.0829628674084,-85.63275
Adams Central,148,222 W Washington St,Monroe,IN,46772,40.7451353759904,-84.9443998006675
Bellmont,149,625 Stadium Dr,Decatur,IN,46733,40.8355276116806,-84.911782404789
Bluffton,150,1 Tiger Trl,Bluffton,IN,46714,40.7232410140811,-85.1643254744432
Fort Wayne Bishop Luers,151,333 E Paulding Rd,Fort Wayne,IN,46816,41.0317839614723,-85.1332798930409
Fort Wayne Canterbury,152,3210 Smith Rd,Fort Wayne,IN,46804,41.0526886117581,-85.2098512197629
Fort Wayne South Side,153,3601 S Calhoun St,Fort Wayne,IN,46807,41.0534125390571,-85.1373081812628
Fort Wayne Wayne,154,9100 Winchester Rd,Fort Wayne,IN,46819,41.0015051104595,-85.1377865157453
Heritage,155,13608 Monroeville Rd,Monroeville,IN,46773,40.9779268514789,-84.961603453291
New Haven,156,1300 Green Rd,New Haven,IN,46774,41.0643129074563,-85.0111457329801
Norwell,157,1100 US-224,Ossian,IN,46777,40.8298128674084,-85.2029242527764
Smith Academy for Excellence,158,725 W Washington Blvd,Fort Wayne,IN,46802,41.0756357263559,-85.1485020929598
South Adams,159,1000 Parkway St,Berne,IN,46711,40.6482752949573,-84.9615696539727
Woodlan,160,17215 Woodburn Rd,Woodburn,IN,46797,41.1236071325916,-84.92061
Blackford,161,2392 IN-3,Hartford City,IN,47348,40.4853168120391,-85.3699716731491
Eastbrook,162,560 S 900 E,Marion,IN,46953,40.5739200001308,-85.5040558551008
Huntington North,163,450 Macgahan St,Huntington,IN,46750,40.8901598754528,-85.5083280958696
Madison-Grant,164,11700 S E 00 W,Fairmount,IN,46928,40.3837258822568,-85.6718073808209
Marion,165,750 W 26th St,Marion,IN,46953,40.5375571221423,-85.6672222275135
Mississinewa,166,205 E North H St,Gas City,IN,46933,40.4952595298451,-85.6139119412971
Northfield,167,154 W 200 N,Wabash,IN,46992,40.8544921204037,-85.7944474171558
Oak Hill,168,7756 W Delphi Pike - 27,Converse,IN,46919,40.5752207302874,-85.8211950250881
Southern Wells,169,9120 S 300 W,Poneto,IN,46781,40.6093892587036,-85.278472033304
Southwood,170,564 IN-124,Wabash,IN,46992,40.738867778711,-85.8010979333376
Wabash,171,580 N Miami St,Wabash,IN,46992,40.8068717809706,-85.8240699822234
Alexandria Monroe,172,1 Burden Ct,Alexandria,IN,46001,40.2494969533612,-85.6779703722578
Anderson,173,4610 Madison Ave,Anderson,IN,46013,40.0667365940301,-85.6918708661389
Anderson Preparatory Academy,174,101 W 29th St,Anderson,IN,46016,40.0871428674084,-85.68048
Blue River Valley,175,4741 Viking Trail,New Castle,IN,47362,40.0008664456128,-85.3279730824476
